nama_kabupaten_kota,jumlah_kasus,jumlah_puskesmas,persentase_sanitasi_layak,kepadatan_penduduk,tahun
KABUPATEN BOGOR,7,101,73.96,2155,2018
KABUPATEN SUKABUMI,36,58,56.36,594,2018
KABUPATEN CIANJUR,0,45,75.03,589,2018
KABUPATEN BANDUNG,9,62,75.1,2103,2018
KABUPATEN GARUT,0,67,76.09,848,2018
KABUPATEN TASIKMALAYA,27,40,60.46,686,2018
KABUPATEN CIAMIS,8,37,59.46,840,2018
KABUPATEN KUNINGAN,3,37,85.58,968,2018
KABUPATEN CIREBON,18,60,24.82,2210,2018
KABUPATEN MAJALENGKA,0,32,67.29,996,2018
KABUPATEN SUMEDANG,8,35,94.32,757,2018
KABUPATEN INDRAMAYU,6,49,70.54,843,2018
KABUPATEN SUBANG,0,40,90.01,834,2018
KABUPATEN PURWAKARTA,2,20,77.68,1155,2018
KABUPATEN KARAWANG,6,50,48.43,1414,2018
KABUPATEN BEKASI,1,54,83.56,2964,2018
KABUPATEN BANDUNG BARAT,0,32,81.69,1289,2018
KABUPATEN PANGANDARAN,0,15,55.21,393,2018
KOTA BOGOR,14,25,72.73,9256,2018
KOTA SUKABUMI,3,15,48.45,6762,2018
KOTA BANDUNG,23,80,74.35,14932,2018
KOTA CIREBON,0,22,90.32,8466,2018
KOTA BEKASI,19,42,98.72,14190,2018
KOTA DEPOK,0,35,87.93,11635,2018
KOTA CIMAHI,22,13,72.11,15478,2018
KOTA TASIKMALAYA,4,21,0.0,3862,2018
KOTA BANJAR,0,10,71.82,1611,2018
KABUPATEN BOGOR,9,101,56.0,2201,2019
KABUPATEN SUKABUMI,43,58,69.0,595,2019
KABUPATEN CIANJUR,0,45,62.0,589,2019
KABUPATEN BANDUNG,0,62,80.0,2135,2019
KABUPATEN GARUT,5,67,0.0,853,2019
KABUPATEN TASIKMALAYA,20,40,81.0,688,2019
KABUPATEN CIAMIS,3,37,76.0,845,2019
KABUPATEN KUNINGAN,1,37,83.0,973,2019
KABUPATEN CIREBON,5,60,69.0,2227,2019
KABUPATEN MAJALENGKA,0,32,77.0,1001,2019
KABUPATEN SUMEDANG,0,35,95.0,759,2019
KABUPATEN INDRAMAYU,36,49,80.0,847,2019
KABUPATEN SUBANG,3,40,90.0,843,2019
KABUPATEN PURWAKARTA,2,20,78.0,1166,2019
KABUPATEN KARAWANG,0,50,78.0,1425,2019
KABUPATEN BEKASI,0,44,88.0,3073,2019
KABUPATEN BANDUNG BARAT,0,32,74.0,1302,2019
KABUPATEN PANGANDARAN,25,15,77.0,395,2019
KOTA BOGOR,31,25,74.0,9385,2019
KOTA SUKABUMI,5,15,152.0,6812,2019
KOTA BANDUNG,24,80,64.0,14957,2019
KOTA CIREBON,3,22,94.0,8547,2019
KOTA BEKASI,3,42,99.0,14539,2019
KOTA DEPOK,3,35,173.0,12017,2019
KOTA CIMAHI,11,13,80.0,15643,2019
KOTA TASIKMALAYA,1,21,52.0,3866,2019
KOTA BANJAR,0,10,47.0,1613,2019
KABUPATEN BOGOR,6,101,62.4,2002,2020
KABUPATEN SUKABUMI,11,58,82.9,657,2020
KABUPATEN CIANJUR,3,47,83.2,645,2020
KABUPATEN BANDUNG,2,62,75.5,2050,2020
KABUPATEN GARUT,3,67,31.1,841,2020
KABUPATEN TASIKMALAYA,7,40,91.4,731,2020
KABUPATEN CIAMIS,1,37,91.3,869,2020
KABUPATEN KUNINGAN,0,37,83.9,1051,2020
KABUPATEN CIREBON,3,60,61.5,2306,2020
KABUPATEN MAJALENGKA,0,32,78.8,1084,2020
KABUPATEN SUMEDANG,0,35,95.2,759,2020
KABUPATEN INDRAMAYU,19,49,98.8,899,2020
KABUPATEN SUBANG,0,40,93.2,842,2020
KABUPATEN PURWAKARTA,0,20,85.3,1208,2020
KABUPATEN KARAWANG,0,50,46.8,1476,2020
KABUPATEN BEKASI,0,44,88.0,2541,2020
KABUPATEN BANDUNG BARAT,1,32,96.4,1370,2020
KABUPATEN PANGANDARAN,4,15,84.6,419,2020
KOTA BOGOR,18,25,76.5,8802,2020
KOTA SUKABUMI,3,15,56.1,7178,2020
KOTA BANDUNG,8,80,68.0,14577,2020
KOTA CIREBON,0,22,94.9,8921,2020
KOTA BEKASI,7,42,81.1,12311,2020
KOTA DEPOK,187,38,92.0,10267,2020
KOTA CIMAHI,43,13,84.9,14474,2020
KOTA TASIKMALAYA,3,22,58.8,4173,2020
KOTA BANJAR,0,10,85.2,1771,2020
KABUPATEN BOGOR,5,101,74.45,2025,2021
KABUPATEN SUKABUMI,7,58,99.72,666,2021
KABUPATEN CIANJUR,3,47,92.89,653,2021
KABUPATEN BANDUNG,12,62,90.3,2074,2021
KABUPATEN GARUT,3,67,96.65,847,2021
KABUPATEN TASIKMALAYA,15,40,79.26,738,2021
KABUPATEN CIAMIS,2,37,85.51,875,2021
KABUPATEN KUNINGAN,0,37,90.11,1063,2021
KABUPATEN CIREBON,3,60,91.32,2327,2021
KABUPATEN MAJALENGKA,0,32,88.84,1095,2021
KABUPATEN SUMEDANG,0,35,95.84,764,2021
KABUPATEN INDRAMAYU,19,49,82.06,907,2021
KABUPATEN SUBANG,3,40,100.0,849,2021
KABUPATEN PURWAKARTA,0,20,94.45,1225,2021
KABUPATEN KARAWANG,0,50,43.9,1494,2021
KABUPATEN BEKASI,0,44,91.33,2578,2021
KABUPATEN BANDUNG BARAT,1,32,100.0,1389,2021
KABUPATEN PANGANDARAN,4,15,88.34,423,2021
KOTA BOGOR,18,25,76.33,8881,2021
KOTA SUKABUMI,3,15,83.2,7271,2021
KOTA BANDUNG,8,73,78.49,14630,2021
KOTA CIREBON,0,22,97.49,9017,2021
KOTA BEKASI,3,42,99.3,12414,2021
KOTA DEPOK,19,38,90.29,10415,2021
KOTA CIMAHI,43,13,80.91,14556,2021
KOTA TASIKMALAYA,10,22,57.86,4218,2021
KOTA BANJAR,0,10,97.97,1792,2021
KABUPATEN BOGOR,11,101,68.6,1861,2022
KABUPATEN SUKABUMI,28,58,100.0,674,2022
KABUPATEN CIANJUR,2,47,92.89,700,2022
KABUPATEN BANDUNG,7,62,100.0,2136,2022
KABUPATEN GARUT,9,67,93.47,847,2022
KABUPATEN TASIKMALAYA,29,40,89.74,705,2022
KABUPATEN CIAMIS,1,37,83.77,782,2022
KABUPATEN KUNINGAN,1,37,95.33,1003,2022
KABUPATEN CIREBON,3,60,91.26,2150,2022
KABUPATEN MAJALENGKA,2,32,97.26,1004,2022
KABUPATEN SUMEDANG,6,35,98.47,745,2022
KABUPATEN INDRAMAYU,10,49,91.84,902,2022
KABUPATEN SUBANG,3,40,97.49,750,2022
KABUPATEN PURWAKARTA,3,20,86.69,1036,2022
KABUPATEN KARAWANG,4,50,55.29,1309,2022
KABUPATEN BEKASI,4,46,92.59,2570,2022
KABUPATEN BANDUNG BARAT,1,32,91.09,1439,2022
KABUPATEN PANGANDARAN,6,15,82.73,383,2022
KOTA BOGOR,39,25,62.37,9550,2022
KOTA SUKABUMI,9,15,95.48,7377,2022
KOTA BANDUNG,41,80,100.0,14776,2022
KOTA CIREBON,1,22,86.66,8646,2022
KOTA BEKASI,25,48,93.03,12159,2022
KOTA DEPOK,209,38,99.26,10622,2022
KOTA CIMAHI,43,13,83.05,13557,2022
KOTA TASIKMALAYA,1,22,63.84,3988,2022
KOTA BANJAR,0,10,98.98,1576,2022
KABUPATEN BOGOR,22,101,68.41,1881,2023
KABUPATEN SUKABUMI,28,58,100.0,673,2023
KABUPATEN CIANJUR,4,47,68.71,704,2023
KABUPATEN BANDUNG,4,62,99.74,2138,2023
KABUPATEN GARUT,36,67,88.94,865,2023
KABUPATEN TASIKMALAYA,12,40,64.47,705,2023
KABUPATEN CIAMIS,3,37,92.94,784,2023
KABUPATEN KUNINGAN,4,37,94.62,1007,2023
KABUPATEN CIREBON,0,60,95.59,2202,2023
KABUPATEN MAJALENGKA,10,32,98.72,1008,2023
KABUPATEN SUMEDANG,2,35,98.62,752,2023
KABUPATEN INDRAMAYU,4,49,96.0,912,2023
KABUPATEN SUBANG,7,40,100.0,762,2023
KABUPATEN PURWAKARTA,4,20,63.14,1044,2023
KABUPATEN KARAWANG,17,50,59.81,1320,2023
KABUPATEN BEKASI,1,46,92.28,2588,2023
KABUPATEN BANDUNG BARAT,0,32,92.82,1449,2023
KABUPATEN PANGANDARAN,9,15,100.0,382,2023
KOTA BOGOR,69,25,67.45,9614,2023
KOTA SUKABUMI,4,15,95.53,7465,2023
KOTA BANDUNG,24,80,100.0,15047,2023
KOTA CIREBON,18,22,99.18,8671,2023
KOTA BEKASI,28,47,96.29,12332,2023
KOTA DEPOK,157,38,99.09,10732,2023
KOTA CIMAHI,51,13,74.96,13924,2023
KOTA TASIKMALAYA,9,22,29.66,4033,2023
KOTA BANJAR,2,10,86.95,1584,2023
KABUPATEN BOGOR,21,101,88.77,1899,2024
KABUPATEN SUKABUMI,6,58,100.0,679,2024
KABUPATEN CIANJUR,16,47,69.99,712,2024
KABUPATEN BANDUNG,21,62,96.79,2156,2024
KABUPATEN GARUT,28,67,91.34,876,2024
KABUPATEN TASIKMALAYA,16,40,75.62,710,2024
KABUPATEN CIAMIS,2,37,95.16,789,2024
KABUPATEN KUNINGAN,0,37,96.34,1018,2024
KABUPATEN CIREBON,2,60,96.24,2228,2024
KABUPATEN MAJALENGKA,19,32,98.11,1017,2024
KABUPATEN SUMEDANG,40,35,98.99,758,2024
KABUPATEN INDRAMAYU,3,49,97.96,922,2024
KABUPATEN SUBANG,6,40,100.0,768,2024
KABUPATEN PURWAKARTA,3,20,95.78,1058,2024
KABUPATEN KARAWANG,0,50,77.53,1335,2024
KABUPATEN BEKASI,0,51,97.0,2617,2024
KABUPATEN BANDUNG BARAT,3,32,94.91,1468,2024
KABUPATEN PANGANDARAN,13,15,100.0,385,2024
KOTA BOGOR,36,25,72.93,9683,2024
KOTA SUKABUMI,14,15,95.53,7571,2024
KOTA BANDUNG,51,80,69.46,15176,2024
KOTA CIREBON,4,22,95.38,8744,2024
KOTA BEKASI,18,48,99.62,12411,2024
KOTA DEPOK,94,38,99.46,10823,2024
KOTA CIMAHI,54,13,78.58,14110,2024
KOTA TASIKMALAYA,6,22,34.56,4081,2024
KOTA BANJAR,1,10,99.11,1601,2024
